"Артикул";"Бренд";"Коллекция";"Производство";"Цвет";"Материал";"Основа";"Ширина рулона (м)";"Длина рулона";"Рисунок";"Цена";"Рулон";"img"
"075389";"KT Exclusive";"Royal Palace";"США";"Серые, Серебристые";"Текстильные";;"0,53, Узкие";"10,05";"Однотонные";"3990";"Рулон";"/upload/resize_cache/iblock/7eb/480_480_240cd750bba9870f18aada2478b24840a/7ebb2b99ed84d729123fb3ae99b15add.png"
"075358";"KT Exclusive";"Royal Palace";"США";"Серебристые, Серые";"Текстильные";;"0,53, Узкие";"10,05";"Вертикальная полоска, Узор";"7154";"Рулон";"/upload/resize_cache/iblock/bf4/480_480_240cd750bba9870f18aada2478b24840a/bf467af1f67db6012f9edd0751c749c1.png"
"075402";"KT Exclusive";"Royal Palace";"США";"Серые, Серебристые";"Текстильные";;"0,53, Узкие";"10,05";"Восточный орнамент, Орнамент, Узор";"8750";"Рулон";"/upload/resize_cache/iblock/d35/480_480_240cd750bba9870f18aada2478b24840a/d3598b97551a33b0a010103cc7352b45.png"
"075396";"KT Exclusive";"Royal Palace";"США";"Серые, Серебристые";"Текстильные";;"0,53, Узкие";"10,05";"Восточный орнамент, Орнамент, Узор";"5200";"Рулон";"/upload/resize_cache/iblock/a2b/480_480_240cd750bba9870f18aada2478b24840a/a2bbd73d7ebd0e41212ea84d879e641d.png"
"075419";"KT Exclusive";"Royal Palace";"США";"Серые, Терракотовые, Бронзовые";"Текстильные";;"0,53, Узкие";"10,05";"Вертикальная полоска";"6200";"Рулон";"/upload/resize_cache/iblock/1ba/480_480_240cd750bba9870f18aada2478b24840a/1ba8cfa53a4af0acc73f36cefd81130e.png"
"075426";"KT Exclusive";"Royal Palace";"США";"Серебристые, Серые";"Текстильные";;"0,53, Узкие";"10,05";"Восточный орнамент, Орнамент, Узор";"5767";"Рулон";"/upload/resize_cache/iblock/393/480_480_240cd750bba9870f18aada2478b24840a/3938faa04070e5249918f98e78c13c90.png"
"075464";"KT Exclusive";"Royal Palace";"США";"Серебристые, Серые";"Текстильные";;"0,53, Узкие";"10,05";"Ромбы, Узор";"6950";"Рулон";"/upload/resize_cache/iblock/9c2/480_480_240cd750bba9870f18aada2478b24840a/9c20ac40af9b01425faf1cf3d23fd5a8.png"
"075488";"KT Exclusive";"Royal Palace";"США";"Серебристые, Серые, Голубые";"Текстильные";;"0,53, Узкие";"10,05";"Вертикальная полоска";"7310";"Рулон";"/upload/resize_cache/iblock/eef/480_480_240cd750bba9870f18aada2478b24840a/eef1d0ca77b95d59f5105fe432084326.png"
"075495";"KT Exclusive";"Royal Palace";"США";"Серые, Серебристые";"Текстильные";;"0,53, Узкие";"10,05";"Вертикальная полоска";"7310";"Рулон";"/upload/resize_cache/iblock/823/480_480_240cd750bba9870f18aada2478b24840a/82338986a1cd2805b0d3511eb25cb07b.png"
"075471";"KT Exclusive";"Royal Palace";"США";"Черные";"Текстильные";;"0,53, Узкие";"10,05";"Ромбы";"8750";"Рулон";"/upload/resize_cache/iblock/42d/480_480_240cd750bba9870f18aada2478b24840a/42d92c61cf9ab3048cccf35174074f75.png"
"075518";"KT Exclusive";"Royal Palace";"США";"Серебристые, Серые";"Текстильные";;"0,53, Узкие";"10,05";"Однотонные";"4891";"Рулон";"/upload/resize_cache/iblock/d95/480_480_240cd750bba9870f18aada2478b24840a/d95a4f48c0b4481bf2ac090a3b6caec6.png"
